Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,null,null,null,null,null,null
2016-11-01,131.410004,131.940002,113.550003,118.419998,118.419998,643698100
2016-12-01,118.379997,122.500000,114.000000,115.050003,115.050003,408552500
2017-01-01,116.029999,133.139999,115.510002,130.320007,130.320007,378873600
2017-02-01,132.250000,137.179993,130.300003,135.539993,135.539993,384675700
2017-03-01,136.470001,142.949997,136.080002,142.050003,142.050003,342098600
2017-04-01,141.929993,151.529999,138.809998,150.250000,150.250000,275502100
2017-05-01,151.740005,153.600006,144.419998,151.460007,151.460007,403586900
2017-06-01,151.750000,156.500000,144.559998,150.979996,150.979996,414677400
2017-07-01,151.720001,175.490005,147.800003,169.250000,169.250000,419907600
2017-08-01,169.820007,173.050003,165.000000,171.970001,171.970001,303622800
2017-09-01,172.399994,174.000000,161.559998,170.869995,170.869995,304818300
2017-10-01,171.389999,180.800003,168.289993,180.059998,180.059998,318146600
